"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.894222917E-1,-2.537472323E-2,4.123865783E-2,-1.785985609E-1,1.850458036E-1
5.994772917E-1,-4.211851761E-2,2.789297283E-2,-1.812812634E-1,1.881884267E-1
6.095312917E-1,-5.630050063E-2,3.202286124E-2,-1.536016774E-1,1.666993861E-1
6.195862917E-1,-1.038553208E-1,1.481567502E-2,-1.374212623E-1,1.728873483E-1
6.296412917E-1,-1.200942081E-1,2.588854730E-2,-1.065046942E-1,1.625917759E-1
6.396962917E-1,-8.105308011E-2,1.696277261E-3,-8.284923512E-2,1.159158096E-1
6.497512917E-1,-4.698340103E-2,-3.582647502E-2,-3.546164531E-2,6.890939394E-2
6.598062917E-1,-1.413769037E-2,-1.358425140E-2,-3.764963686E-2,4.244880836E-2
6.698612917E-1,7.805155814E-3,-1.308840752E-2,-3.721168041E-3,1.568674473E-2
6.799162917E-1,2.899911985E-2,1.437596440E-2,1.846495885E-2,3.726354801E-2
6.899712917E-1,4.674395755E-2,2.834262371E-2,2.899813313E-2,6.188047843E-2
7.000252917E-1,8.230350718E-2,2.456064463E-2,4.514346499E-2,9.703105168E-2
7.100802917E-1,1.210521282E-1,1.960629880E-2,2.998105008E-2,1.262413881E-1
7.201352917E-1,1.160932508E-1,4.380207717E-2,9.437406063E-4,1.240852751E-1
7.301902917E-1,8.267655954E-2,7.239496171E-2,-5.200634200E-2,1.215775620E-1
7.402452917E-1,5.977637798E-2,3.193983078E-2,-5.695889711E-2,8.853069589E-2
7.503002917E-1,6.589928985E-2,2.478108466E-2,-1.031127244E-1,1.248561272E-1
7.603552917E-1,5.415047944E-2,-3.096100688E-3,-1.220454240E-1,1.335550290E-1
7.704102917E-1,3.002618328E-2,3.943362236E-3,-1.504511611E-1,1.534688035E-1
7.804652917E-1,-9.317538142E-3,2.411684096E-2,-1.322324431E-1,1.347362518E-1
7.905192917E-1,-2.227014408E-2,2.385196209E-2,-1.166712846E-1,1.211489334E-1
8.005742917E-1,2.175310403E-3,5.084154010E-3,-7.825390834E-2,7.844905843E-2
8.106292917E-1,4.881080210E-2,-5.433232784E-3,-4.176666141E-2,6.447067880E-2
8.206842917E-1,4.219248489E-2,1.281066477E-2,-2.618386824E-2,5.128268586E-2
8.307392917E-1,3.036839157E-2,2.766434669E-2,-2.066347539E-2,4.598406790E-2
8.407942917E-1,2.004995629E-2,7.560449839E-4,3.444357198E-2,3.986140993E-2
8.508492917E-1,-1.595836714E-2,1.919290066E-2,3.232519884E-2,4.084060966E-2
8.609042917E-1,3.044937551E-3,3.716548741E-2,-2.859873176E-3,3.739951836E-2
