"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.008339167E-1,8.274865571E-1,-1.372156595E0,-6.283453023E-1,1.721152388E0
6.108239167E-1,7.150969326E-2,-9.326895149E-1,-1.679578782E0,1.922500521E0
6.208129168E-1,-1.215658354E0,-5.811176339E-1,-2.255527770E0,2.627342471E0
6.308029167E-1,-1.516840830E0,-7.308361754E-1,-2.215387219E0,2.782600969E0
6.407919168E-1,-8.701259154E-1,-1.010486865E0,-1.828638343E0,2.263210331E0
6.507819167E-1,9.328297019E-2,-1.394060704E0,-1.071813340E0,1.760934637E0
6.607709167E-1,8.048119318E-1,-1.810917771E0,-2.623821080E-1,1.998997196E0
6.707609168E-1,1.419199346E0,-2.319999170E0,5.677155232E-1,2.778277136E0
6.807499167E-1,1.748573003E0,-2.609678127E0,6.675514680E-1,3.211472005E0
6.907399168E-1,1.815756927E0,-2.455418345E0,-1.515574908E-1,3.057617069E0
7.007289167E-1,9.359035832E-1,-2.079281873E0,-6.399496865E-1,2.368304082E0
7.107189167E-1,-6.946562362E-1,-1.793717601E0,-4.364952332E-1,1.972434589E0
7.207079168E-1,-2.181985584E0,-1.851397168E0,-2.123232177E-1,2.869462269E0
7.306979167E-1,-2.911926844E0,-2.304276592E0,-3.771535957E-1,3.732459429E0
7.406869167E-1,-2.810000519E0,-2.838755956E0,-7.682405216E-1,4.067533872E0
7.506759167E-1,-2.238999445E0,-3.177850025E0,-1.167506533E0,4.058930993E0
7.606659167E-1,-1.310759223E0,-3.043655841E0,-1.307902858E0,3.562659191E0
7.706549168E-1,-1.822027481E-1,-2.357555836E0,-1.286181329E0,2.691752175E0
7.806449167E-1,4.335184157E-1,-1.680506735E0,-9.787642586E-1,1.992491049E0
7.906339167E-1,4.134332299E-1,-1.144332848E0,-4.360353497E-1,1.292498173E0
8.006239167E-1,-1.486853385E-1,-8.266343254E-1,7.691135108E-3,8.399349923E-1
8.106129167E-1,-9.582773691E-1,-6.663732541E-1,1.632861283E-1,1.178563189E0
8.206029168E-1,-1.996518921E0,-5.645720601E-1,6.751639581E-1,2.181897289E0
8.305919167E-1,-2.874229844E0,-6.024450606E-1,8.675357451E-1,3.062148840E0
8.405819167E-1,-2.926913842E0,-1.307823336E-1,3.279367045E-1,2.948130109E0
8.505709167E-1,-2.212689899E0,8.194369876E-1,-4.507770574E-1,2.402222621E0
8.605609167E-1,-1.892917954E0,1.249046540E0,-6.163392144E-1,2.350133967E0
8.705499168E-1,-1.876939268E0,1.360448862E0,-6.316425472E-1,2.402643217E0
8.805399167E-1,-2.163786711E0,1.344545020E0,-1.339640375E0,2.878265202E0
8.905289167E-1,-2.480373677E0,1.289471850E0,-2.354902808E0,3.655209770E0
9.005189168E-1,-1.555762237E0,1.420633083E0,-3.748297952E0,4.299806046E0
9.105079167E-1,1.919167274E-1,1.141134421E0,-5.549941455E0,5.669291838E0
9.204979168E-1,1.268658686E0,5.405242163E-1,-5.847387561E0,6.007795151E0
9.304869167E-1,1.665124465E0,4.144605857E-1,-4.494600306E0,4.811013300E0
9.404769167E-1,1.549027998E0,4.201873487E-1,-3.622078201E0,3.961754112E0
9.504659168E-1,8.691049916E-1,4.235272783E-1,-3.484976782E0,3.616598127E0
9.604549167E-1,2.064400417E-1,5.513070667E-1,-3.602171940E0,3.649958857E0
9.704449167E-1,-3.613398010E-1,5.079230654E-1,-3.463307000E0,3.518955480E0
9.804339167E-1,-3.061654741E-1,2.620681125E-1,-3.266920661E0,3.291684614E0
9.904239167E-1,2.922619647E-1,-1.038699389E-2,-2.996838940E0,3.011074323E0
1.000412917E0,1.044433753E0,-1.639687908E-1,-2.605281313E0,2.811622014E0
1.010402917E0,1.407948133E0,-2.367555159E-1,-2.555558345E0,2.927328061E0
1.020391917E0,1.252775894E0,-2.160622197E-1,-2.237355208E0,2.573303062E0
1.030381917E0,5.070959768E-1,-3.102029765E-1,-1.640414132E0,1.744801060E0
1.040370917E0,-2.945622593E-1,-1.013365742E0,-2.037783160E0,2.294828372E0
1.050360917E0,-7.656320786E-1,-1.789105902E0,-2.896615325E0,3.489623583E0
1.060349917E0,-4.123971033E-1,-2.432823535E0,-2.810996885E0,3.740375009E0
1.070339917E0,1.203318974E-1,-2.844326599E0,-2.259135941E0,3.634331956E0
1.080328917E0,6.681420368E-1,-2.754099968E0,-2.430453073E0,3.733441115E0
1.090318917E0,1.823754456E0,-2.349531117E0,-1.890645726E0,3.524332284E0
1.100307917E0,2.557597854E0,-2.021304098E0,-7.617202914E-1,3.347714869E0
1.110297917E0,2.771937192E0,-2.015937524E0,-8.387872515E-1,3.528626354E0
1.120286917E0,2.859481705E0,-2.063811602E0,-4.054845250E-1,3.549700219E0
1.130276917E0,2.737787991E0,-2.405303029E0,3.652749771E-1,3.662566252E0
1.140265917E0,2.638946950E0,-3.140489826E0,7.848203015E-1,4.176441099E0
1.150255917E0,2.380611700E0,-3.080833608E0,1.196260800E0,4.073068584E0
1.160244917E0,2.353518041E0,-2.872231266E0,2.361032006E0,4.400367229E0
1.170233917E0,2.905177402E0,-2.164245132E0,2.505395082E0,4.404658585E0
1.180223917E0,2.949482633E0,-9.362631869E-1,2.561979758E0,4.017434111E0
1.190212917E0,3.438464520E0,-5.957885903E-1,2.767562013E0,4.453919823E0
1.200202917E0,2.703713926E0,1.572235013E0,1.646282398E0,3.534435975E0
1.210191917E0,1.067375888E0,3.866774236E0,3.535207872E0,5.346861601E0
1.220181917E0,1.829779134E0,4.162052779E0,5.195197313E0,6.903683809E0
1.230170917E0,4.402302006E0,2.588696855E0,3.308988454E0,6.085311739E0
1.240160917E0,3.851376763E0,2.799705327E-2,1.401597472E0,4.098580520E0
1.250149917E0,3.736474298E0,-4.350667584E-1,1.917963917E0,4.222452942E0
1.260139917E0,5.402429652E0,6.758053976E-1,3.125293497E0,6.277771780E0
1.270128917E0,6.104252821E0,1.378296318E0,3.205719609E0,7.031233281E0
1.280119625E0,6.563617099E0,1.643490937E0,2.840481470E0,7.338287734E0
1.290108625E0,6.680461425E0,1.426108416E0,3.095251672E0,7.499528850E0
1.300098625E0,6.460759898E0,8.006358504E-1,3.310072528E0,7.303356514E0
1.310087625E0,6.113752792E0,1.889323086E-1,3.103643596E0,6.859028516E0
1.320077625E0,5.583475821E0,-6.493245274E-1,2.899677511E0,6.324946977E0
1.330066625E0,3.434683126E0,5.847905624E-1,2.000469300E0,4.017574591E0
1.340056625E0,1.561065661E0,1.685196787E0,1.873059640E0,2.963978176E0
1.350045625E0,1.410278249E-1,1.709851572E0,4.406941553E-1,1.771353320E0
1.360035625E0,-6.327061558E-1,1.535291135E0,6.289861572E-1,1.775685652E0
1.370024625E0,-5.435530740E-1,1.598515323E0,1.738766638E0,2.423635824E0
1.380013625E0,-1.453812523E0,2.078433734E0,3.627775947E-1,2.562238323E0
1.390003625E0,-9.639058989E-1,1.551058736E0,5.171592907E-1,1.897986174E0
1.399992625E0,-9.170188308E-2,1.123228492E0,7.108261263E-1,1.332413323E0
1.409982625E0,2.212422681E-1,1.328719531E0,2.490002433E-1,1.369833878E0
1.419971625E0,4.642478728E-1,1.225790994E0,4.411431849E-1,1.383002877E0
1.429961625E0,8.472966313E-2,9.745829147E-1,5.452522749E-1,1.119951346E0
1.439950625E0,6.160275578E-2,6.437345892E-1,6.874325860E-1,9.437969491E-1
1.449940625E0,-9.143992782E-2,-3.261746460E-1,4.402386937E-1,5.554829138E-1
1.459929625E0,2.389996773E-1,-8.818185925E-3,7.510561395E-1,7.882156626E-1
1.469919625E0,9.022610432E-1,-1.811180896E-1,1.715753605E-1,9.361179716E-1
