"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.646666581E-3,-1.335630355E0,8.348765606E-1,7.686901724E-1,1.752658523E0
1.463466662E-2,-9.040461981E-1,6.262177929E-1,8.756538731E-1,1.405780195E0
2.462366666E-2,-3.790673894E-1,2.530455664E-1,7.494054705E-1,8.771161289E-1
3.461266658E-2,-9.939652652E-2,9.829344928E-2,6.919676864E-1,7.059465636E-1
4.460166662E-2,-8.576169670E-2,7.729112774E-2,6.271618259E-1,6.376997279E-1
5.458966666E-2,-4.620294392E-2,1.106667423E-1,4.226718307E-1,4.393555693E-1
6.457866658E-2,1.461774677E-2,1.047739184E-1,7.534663618E-2,1.298782818E-1
7.456766663E-2,8.711766601E-2,1.254344702E-1,-3.205496246E-1,3.550709166E-1
8.455566666E-2,1.689810240E-1,1.323985040E-1,-6.243346971E-1,6.602103940E-1
9.454466659E-2,2.763809270E-1,7.815914690E-2,-8.009095001E-1,8.508532755E-1
1.045336666E-1,3.263293049E-1,3.209595144E-2,-8.593161678E-1,9.197528155E-1
1.145226667E-1,3.704158491E-1,1.248819083E-2,-9.085386139E-1,9.812269203E-1
1.245106666E-1,3.162308711E-1,-2.749273092E-2,-9.494872499E-1,1.001141275E0
1.344996666E-1,2.027510333E-1,-4.759750485E-2,-8.311618245E-1,8.568567456E-1
1.444886666E-1,9.042368174E-2,-2.847360134E-2,-6.672246087E-1,6.739257130E-1
1.544776666E-1,1.906864733E-2,-2.585638762E-2,-4.515442121E-1,4.526856984E-1
1.644656666E-1,1.041769177E-2,-6.078560740E-2,-2.102074027E-1,2.190675022E-1
1.744546666E-1,-1.267968714E-2,-2.117940447E-1,-1.816390765E-1,2.793031434E-1
1.844436666E-1,-1.522533095E-1,-2.929519361E-1,-1.915851903E-1,3.817155908E-1
1.944326666E-1,-3.392516515E-1,-1.601005653E-1,-5.818154991E-2,3.796168684E-1
2.044206666E-1,-4.164343134E-1,-1.008133069E-1,-6.653078914E-2,4.335979775E-1
2.144096666E-1,-3.545599544E-1,-1.301829940E-1,-1.372902846E-1,4.018818178E-1
2.243986666E-1,-1.677145171E-1,-7.846086323E-2,-7.859008670E-2,2.011483732E-1
2.343866666E-1,1.939810869E-1,-1.163359103E-1,-8.376779616E-2,2.412047880E-1
2.443756666E-1,5.512599966E-1,-2.649677467E-1,-7.232128680E-2,6.158943572E-1
2.543646666E-1,6.075847632E-1,-2.934208828E-1,3.045329314E-1,7.402670905E-1
2.643536666E-1,3.639327487E-1,-7.823252946E-2,8.411120313E-1,9.198026003E-1
2.743416666E-1,-1.319745809E-2,1.313992149E-1,8.694529009E-1,8.794249675E-1
2.843306666E-1,-4.845660701E-1,3.005518547E-1,5.282608509E-1,7.772999552E-1
2.943196666E-1,-8.625873926E-1,4.609877577E-1,2.955323124E-1,1.021717216E0
3.043086666E-1,-8.011410499E-1,5.283786723E-1,4.176338696E-1,1.046627466E0
3.142966666E-1,-4.135723937E-1,3.522628757E-1,4.180244637E-1,6.854748067E-1
3.242856666E-1,6.629573107E-3,1.451620987E-1,1.284130418E-1,1.939223954E-1
3.342746666E-1,2.403536001E-1,6.842470229E-2,-1.443274087E-1,2.885865448E-1
3.442636667E-1,1.575155112E-1,2.691572767E-1,-3.724787468E-1,4.857954227E-1
3.542516666E-1,-4.458387914E-1,8.861540106E-1,-7.379092598E-1,1.236345920E0
3.642406666E-1,-1.627421911E0,1.616936392E0,-9.068306422E-1,2.466845594E0
3.742296667E-1,-2.614043366E0,2.455413960E0,-7.628955817E-1,3.666645620E0
3.842176666E-1,-3.302476410E0,3.198594192E0,-8.562393630E-1,4.676590755E0
3.942066666E-1,-4.207886179E0,4.144557325E0,-6.179682487E-1,5.938480132E0
4.041956667E-1,-4.460799306E0,4.703321346E0,-3.667034519E-1,6.492644573E0
4.141846666E-1,-3.929491763E0,5.161584009E0,-3.487320346E-1,6.496496674E0
4.241726666E-1,-3.121898896E0,5.299492929E0,2.566401422E-2,6.150734644E0
4.341616667E-1,-3.220135335E0,5.654188539E0,1.558001136E0,6.690776274E0
4.441506666E-1,-2.756234494E0,5.982715520E0,3.786943955E0,7.598069366E0
4.541396666E-1,-2.036178830E0,5.063831427E0,5.345160268E0,7.639316150E0
4.641276667E-1,-1.125791327E0,3.901143585E0,6.765767038E0,7.890622979E0
4.741166666E-1,3.679208422E-1,2.991794547E0,8.343175668E0,8.871007867E0
4.841056666E-1,1.461843674E0,1.982735864E0,9.360170776E0,9.678895877E0
4.940946666E-1,1.946393080E0,9.020935205E-1,9.644816158E0,9.880521113E0
5.040826666E-1,1.881520269E0,1.019087827E-1,9.329437226E0,9.517820280E0
5.140716666E-1,1.571368163E0,-6.174484313E-1,8.523337737E0,8.688942781E0
5.240606666E-1,9.625598699E-1,-1.318334291E0,7.266979254E0,7.448054396E0
5.340486666E-1,6.936136776E-1,-1.557113528E0,5.925440873E0,6.165756402E0
5.440376666E-1,2.271105337E-1,-1.333066936E0,4.435525886E0,4.637082761E0
5.540266666E-1,-4.428953031E-1,-1.098042195E0,2.674339269E0,2.924712539E0
5.640156666E-1,-8.826769638E-1,-1.234884583E0,9.233882028E-1,1.776711662E0
5.740036666E-1,-8.759058881E-1,-1.589886003E0,-2.729281461E-1,1.835603007E0
5.839926666E-1,-8.616018444E-1,-1.998254374E0,-7.626447362E-1,2.305863239E0
5.939816666E-1,-1.977890715E0,-1.965806420E0,-5.464912999E-1,2.841671920E0
6.039706666E-1,-2.426936119E0,-2.446843404E0,-2.729912961E-1,3.457106567E0
6.139586666E-1,-6.543224350E-1,-1.736746425E0,-3.826219118E-1,1.894947366E0
6.239476666E-1,-3.008005075E-1,-1.895764378E0,-5.937169218E-1,2.009204645E0
6.339366667E-1,7.312717929E-2,-2.452975379E0,-1.636900540E0,2.949894773E0
6.439246666E-1,4.813385533E-1,-2.488753906E0,-2.727719085E0,3.723712424E0
6.539136666E-1,3.361220755E-1,-1.566277869E0,-2.846754363E0,3.266529476E0
6.639026667E-1,-8.368827403E-1,-1.475004002E0,-2.028341222E0,2.643894408E0
