"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.381791678E-3,1.034410456E-1,2.022201061E-2,3.373024821E-2,1.106648511E-1
1.543741667E-2,9.311690927E-4,7.589218140E-2,-7.057823181E-2,1.036425447E-1
2.549141667E-2,-1.578970420E-1,9.501608491E-2,-2.900218964E-2,1.865493481E-1
3.554641666E-2,-2.133001412E-1,5.545674741E-2,-3.991897780E-2,2.239775120E-1
4.560041668E-2,-1.568451279E-1,4.314309597E-2,2.539913535E-2,1.646415408E-1
5.565541667E-2,-7.762763500E-2,-1.400408149E-3,-1.133517838E-1,1.373922769E-1
6.571041667E-2,6.977745563E-2,-3.095048189E-2,-1.411131942E-1,1.604361531E-1
7.576441667E-2,2.031751026E-1,-2.244102895E-2,-1.783430376E-1,2.712746968E-1
8.581941666E-2,1.534809324E-1,-2.322397113E-2,-1.563182938E-1,2.202978857E-1
9.587441667E-2,5.083876267E-2,-7.095596194E-3,-1.443093188E-1,1.531669246E-1
1.059284167E-1,4.615353495E-3,-2.983307898E-2,-1.848714538E-1,1.873199630E-1
1.159834167E-1,-4.510220557E-2,-5.196362078E-2,-1.788885462E-1,1.916651737E-1
1.260374167E-1,1.067993939E-2,-4.722035944E-2,-1.799211645E-1,1.863208225E-1
1.360924167E-1,7.249231786E-2,-4.977617741E-2,-1.508564097E-1,1.746151778E-1
1.461474167E-1,8.286469370E-2,-2.150722861E-2,-1.290562356E-1,1.548697203E-1
1.562014167E-1,5.149789006E-2,2.530908823E-2,-6.860538125E-2,8.943869947E-2
1.662564167E-1,3.887272820E-2,4.024463117E-2,-5.970043726E-3,5.627042525E-2
1.763104167E-1,-3.962482631E-2,7.845793962E-2,5.370667577E-3,8.806031581E-2
1.863654167E-1,-7.061477691E-2,5.261441588E-2,4.526095748E-2,9.901150311E-2
1.964204167E-1,-6.301061913E-2,2.944833219E-2,3.036455434E-2,7.589168961E-2
2.064744167E-1,-9.580560520E-2,2.651595354E-2,3.730344515E-2,1.061760651E-1
2.165294167E-1,-9.473176405E-2,2.023896754E-2,6.194503717E-3,9.706747552E-2
2.265844167E-1,-9.112169310E-2,-1.855321527E-2,2.980873995E-3,9.303907975E-2
2.366384167E-1,-1.664586814E-1,-2.771521747E-2,1.737554949E-2,1.696423756E-1
2.466934167E-1,-1.140179278E-1,4.777233660E-2,1.227568109E-2,1.242295309E-1
2.567474167E-1,-1.059328365E-1,1.917243540E-2,-2.525412440E-3,1.076834520E-1
2.668024167E-1,-9.050349623E-2,-1.482736945E-2,1.958817244E-2,9.377862344E-2
2.768574167E-1,-5.046439469E-2,4.119948149E-3,-2.566518366E-2,5.676557721E-2
2.869114167E-1,-4.710458457E-2,2.250008583E-2,-8.017117381E-3,5.281448591E-2
2.969664167E-1,-3.752465263E-2,3.062069893E-2,-1.357018154E-2,5.029787853E-2
3.070214167E-1,-1.988433391E-2,2.373034000E-2,-5.953167200E-2,6.710093697E-2
3.170754167E-1,5.183761328E-2,-9.257311821E-3,-1.373627901E-2,5.441986158E-2
3.271304167E-1,7.486950338E-2,-2.660249233E-2,-5.536728501E-2,9.684354075E-2
3.371844167E-1,8.724221170E-2,1.722589731E-3,-3.082301259E-2,9.254311926E-2
3.472394167E-1,9.816846505E-2,4.484814405E-4,-8.828930184E-4,9.817345958E-2
3.572944167E-1,1.292054857E-1,-1.865963459E-2,5.437289290E-3,1.306591123E-1
3.673484167E-1,1.052207918E-1,-3.816126823E-2,-2.356464453E-3,1.119520002E-1
3.774034167E-1,9.192685470E-2,-2.033544660E-2,2.438928466E-2,9.725694942E-2
3.874574167E-1,1.075013521E-1,-2.045356035E-2,-1.633712053E-3,1.094420297E-1
3.975124167E-1,1.217048237E-1,-3.199011683E-3,-2.231414437E-2,1.237748715E-1
4.075674167E-1,8.034849063E-2,-1.256625116E-2,-9.819850512E-3,8.191593299E-2
4.176214167E-1,7.867136300E-2,-3.718829155E-4,3.597718701E-3,7.875446167E-2
4.276764167E-1,8.406395763E-2,-1.354799867E-3,4.912830591E-3,8.421828994E-2
4.377314167E-1,3.651118398E-2,1.978639305E-2,1.331995726E-3,4.154927337E-2
4.477854167E-1,1.118850097E-2,2.446358085E-2,7.438791208E-3,2.791030198E-2
4.578404167E-1,-5.839760453E-3,2.742168725E-2,-2.389877636E-2,3.684023948E-2
4.678944167E-1,-1.083182082E-2,2.420805752E-2,-4.218217917E-3,2.685426882E-2
4.779494167E-1,1.952867702E-2,1.030805647E-2,-3.304849941E-2,3.974705735E-2
4.880044167E-1,-3.094785064E-2,1.347666264E-2,-4.628129661E-2,5.728305431E-2
4.980584167E-1,-2.619040981E-2,6.258274913E-3,-4.982357640E-2,5.663472730E-2
5.081134167E-1,-4.365662768E-2,-2.375606775E-2,-6.421006579E-2,8.119842637E-2
5.181674167E-1,-1.154206748E-1,-1.080506980E-2,-3.977805991E-2,1.225600904E-1
5.282224167E-1,-1.471875742E-1,-2.566927671E-2,-7.623599768E-3,1.496035195E-1
5.382774167E-1,-4.346089214E-2,-5.500885069E-2,-2.421332002E-2,7.416945238E-2
5.483314167E-1,-3.091422915E-2,-4.620645225E-2,-3.460382223E-2,6.548396985E-2
5.583864167E-1,2.314649552E-2,1.508581638E-4,2.428465605E-2,3.354888273E-2
5.684404167E-1,3.920558095E-2,-7.203769684E-4,-2.908755898E-2,4.882297214E-2
5.784954167E-1,7.647558734E-2,-7.344102859E-4,8.816979937E-3,7.698567368E-2
5.885504167E-1,1.115292066E-1,-2.022201061E-2,-6.442871511E-2,1.303792659E-1
5.986044167E-1,7.750104278E-2,3.981953859E-3,-8.312518716E-2,1.137192346E-1
6.086594167E-1,5.453215644E-2,7.028353214E-3,-2.518626016E-2,6.047728115E-2
6.187144167E-1,3.498593777E-2,5.490535498E-4,-9.202640355E-2,9.845392959E-2
6.287684167E-1,3.354174860E-2,-2.306726575E-3,-6.397793133E-2,7.227410036E-2
6.388234167E-1,5.856256910E-2,2.354673743E-3,-4.285077173E-2,7.260377143E-2
6.488774167E-1,8.138052419E-2,-5.242613554E-3,-1.932274539E-2,8.380717871E-2
6.589324167E-1,1.064935114E-1,-3.856881917E-2,1.941202506E-3,1.132792569E-1
6.689874167E-1,1.528352536E-1,-1.936948657E-2,1.092322011E-2,1.544445159E-1
6.790414167E-1,1.295960066E-1,-4.281916022E-3,2.232112449E-2,1.315739045E-1
6.890964167E-1,1.135595061E-1,4.131642580E-3,6.033387344E-2,1.286584944E-1
6.991504167E-1,8.163633987E-2,-2.527751327E-3,7.862220984E-2,1.133681322E-1
7.092054167E-1,1.050018867E-1,1.211543083E-2,3.142988048E-2,1.102724683E-1
7.192604167E-1,8.419822432E-2,1.964372098E-2,3.097558837E-2,9.184064366E-2
7.293144167E-1,5.313993439E-2,6.555313468E-3,8.553270511E-3,5.422161191E-2
7.393694167E-1,6.290624633E-2,1.324979067E-2,1.236923654E-2,6.546564590E-2
7.494244167E-1,5.756262213E-2,1.077875733E-2,2.338886261E-3,5.860978984E-2
7.594784167E-1,9.332492396E-2,1.779307723E-2,2.663169187E-2,9.866803962E-2
7.695334167E-1,6.198969528E-2,4.366349816E-2,5.013366155E-3,7.598919155E-2
7.795874167E-1,3.540474460E-2,5.338566363E-2,4.049310129E-2,7.578401067E-2
7.896424167E-1,3.507700816E-2,5.373591185E-2,2.998214643E-2,7.082989360E-2
7.996974167E-1,-1.535537302E-2,6.657639742E-3,-2.045122147E-2,2.642657956E-2
8.097514167E-1,-9.083985731E-2,1.959869742E-2,-3.330979686E-2,9.871945697E-2
8.198064167E-1,-6.381446511E-2,-3.336304307E-2,-4.698237777E-2,8.598094219E-2
8.298604167E-1,-9.628083766E-2,-4.469026923E-2,-6.605365634E-2,1.250212197E-1
8.399154167E-1,-7.852986038E-2,-8.491326571E-3,-3.366242051E-2,8.586151730E-2
8.499704167E-1,-5.890324250E-2,-7.713646889E-3,-7.724877197E-2,9.744980809E-2
8.600244167E-1,-4.904483691E-2,-2.504011631E-2,1.007471602E-2,5.598127683E-2
8.700794167E-1,-1.129756616E-1,-2.048279643E-3,-6.090112645E-2,1.283613757E-1
8.801334167E-1,-9.537247270E-2,-7.968000770E-3,4.243909121E-3,9.579879097E-2
8.901884167E-1,-3.760461330E-2,-3.449272513E-2,-8.684284687E-3,5.176168302E-2
9.002434167E-1,-3.526835829E-2,-3.242865801E-2,-2.354089022E-2,5.338209877E-2
9.102974167E-1,-8.890530601E-2,3.056807399E-2,3.187554795E-2,9.927039408E-2
9.203524167E-1,-9.674115971E-2,3.468392909E-2,2.620725710E-2,1.060596400E-1
9.304064167E-1,-7.061653107E-2,1.176225901E-2,4.539836705E-2,8.477061359E-2
9.404614167E-1,-2.926297545E-2,-9.815136194E-3,-6.162965298E-4,3.087132087E-2
9.505164167E-1,2.176319048E-2,-1.675812006E-3,-8.091340475E-3,2.327905918E-2
9.605704167E-1,-1.008352339E-3,2.550087690E-2,1.486596107E-2,2.953486577E-2
9.706254167E-1,4.073857471E-2,2.986173034E-2,2.721824069E-2,5.737758303E-2
9.806794167E-1,7.562408656E-2,3.933188081E-2,1.222886682E-2,8.611355584E-2
9.907344167E-1,7.522399083E-2,2.134175241E-2,1.120439809E-2,7.899150415E-2
1.000789417E0,7.744154736E-2,1.617398322E-2,1.936067920E-2,8.144708031E-2
1.010843417E0,1.006530932E-1,5.251969099E-3,9.198839664E-3,1.012089274E-1
1.020901917E0,6.726578414E-2,1.178915620E-2,-2.464016676E-3,6.833550540E-2
1.030956917E0,7.041904137E-2,-2.300528526E-2,-2.115168136E-2,7.704205450E-2
1.041010917E0,5.806212053E-2,-6.142149210E-2,-5.622912806E-2,1.015161286E-1
1.051065917E0,1.939068273E-2,-3.108555257E-2,-7.324569505E-2,8.189775332E-2
1.061119917E0,-5.171277523E-3,-1.537817717E-3,-4.996679664E-2,5.025721601E-2
1.071174917E0,-7.530672893E-2,2.955241263E-2,-3.977277914E-2,9.014611736E-2
1.081229917E0,-3.448190778E-2,2.495357752E-2,-2.623879552E-2,5.000157383E-2
1.091283917E0,-8.367657959E-3,-2.583884597E-2,-3.689593077E-3,2.740942826E-2
1.101338917E0,-2.971189544E-2,1.940106153E-3,-4.575793426E-2,5.459257542E-2
1.111392917E0,-7.279228002E-2,3.435473084E-2,-2.487405539E-3,8.053043368E-2
1.121447917E0,-6.972336888E-2,2.454544187E-2,3.084406257E-2,8.009483804E-2
1.131502917E0,-6.969077066E-2,1.941275597E-2,1.024313411E-2,7.306558975E-2
1.141556917E0,-7.280192792E-2,1.279253840E-2,2.257726908E-2,7.728843916E-2
1.151611917E0,-5.705903068E-2,1.339597106E-2,3.488335568E-2,6.820581740E-2
1.161665917E0,-3.680588365E-2,1.326148510E-2,3.168021441E-2,5.034060034E-2
1.171720917E0,-8.450834602E-3,-1.889235377E-3,1.467070062E-2,1.703570581E-2
1.181775917E0,-7.201869339E-3,-2.538393259E-2,2.847012956E-2,3.881699670E-2
1.191829917E0,8.224693537E-3,-2.270707726E-2,5.564268887E-2,6.065777581E-2
1.201884917E0,5.109764814E-2,-2.516758561E-2,4.709230542E-2,7.390576595E-2
1.211938917E0,5.192459062E-2,-1.513551772E-2,2.897819778E-2,6.135945692E-2
1.221993917E0,6.989074543E-2,-2.509391069E-2,5.367864568E-2,9.162869448E-2
1.232048917E0,1.033960220E-1,-1.572901011E-2,2.858352900E-2,1.084212030E-1
1.242102917E0,1.152999298E-1,1.054662287E-2,5.360840600E-2,1.275898361E-1
1.252157917E0,1.675585426E-1,5.073044300E-3,8.954371233E-2,1.900517756E-1
1.262212917E0,1.444230106E-1,4.736946344E-2,2.191302538E-2,1.535644905E-1
1.272266917E0,1.348755307E-1,3.665970325E-2,8.566993196E-2,1.639349867E-1
1.282321917E0,1.805283979E-1,2.089327097E-2,1.608218193E-2,1.824436016E-1
1.292375917E0,9.175626218E-2,2.819410443E-2,4.817579448E-2,1.074012400E-1
1.302430917E0,5.453317970E-2,-1.613246799E-3,6.036309125E-2,8.136444579E-2
1.312485917E0,6.103352934E-2,2.070499063E-3,-3.555341005E-2,7.066416091E-2
1.322539917E0,4.511930868E-2,-1.381814003E-2,2.320061881E-2,5.258290333E-2
1.332594917E0,3.129985303E-2,-1.455956697E-3,-4.567143202E-2,5.538664381E-2
1.342648917E0,3.330486327E-2,4.685081542E-2,-3.993063569E-2,6.999048856E-2
1.352703917E0,1.229903340E-2,3.002954543E-2,-5.498083888E-2,6.384302988E-2
1.362758917E0,2.583007514E-3,2.517343283E-2,-7.385851979E-2,7.807339236E-2
1.372812917E0,-1.602794901E-2,1.108047366E-2,-7.765924651E-2,8.006641377E-2
1.382867917E0,-8.454766855E-2,-3.287889361E-3,-6.499298969E-2,1.066921140E-1
1.392921917E0,-1.036604623E-1,-1.368365407E-2,-6.091515977E-2,1.210098778E-1
1.402976917E0,-7.626508757E-2,-3.690411687E-2,-4.063467700E-2,9.396517653E-2
1.413031917E0,-3.202651575E-2,-2.955767512E-2,-2.501851816E-2,5.025216533E-2
1.423085917E0,-2.522883520E-2,-1.933264911E-2,4.116257094E-4,3.178702381E-2
1.433140917E0,-1.405816823E-3,-2.477640688E-2,2.915069064E-2,3.828327865E-2
1.443194917E0,8.111199081E-2,-2.135169268E-2,1.996239424E-2,8.621802026E-2
1.453249917E0,9.569655463E-2,-1.157982588E-2,3.699999293E-2,1.032517429E-1
1.463304917E0,9.758301258E-2,-5.444927216E-3,4.136203408E-2,1.061268554E-1
1.473358917E0,6.938174531E-2,2.318596423E-2,4.984221440E-2,8.851927392E-2
1.483413917E0,4.216090992E-2,3.201233625E-2,3.386469763E-2,6.284226081E-2
1.493467917E0,5.295355439E-2,1.177044511E-2,8.525240421E-4,5.425264139E-2
1.503522917E0,4.312380016E-2,-5.345875382E-2,2.621657610E-2,7.351740857E-2
1.513577917E0,1.516694650E-2,-3.942835987E-2,1.040566843E-2,4.350758283E-2
1.523631917E0,-1.432787105E-2,2.958691120E-3,1.382395070E-2,2.012817317E-2
