"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.903390417E-1,1.294479990E-1,4.351497889E-3,5.225071907E-2,1.396633725E-1
6.003940417E-1,1.771881942E-1,7.494083941E-2,-7.983495891E-3,1.925500501E-1
6.104490417E-1,6.260904333E-2,1.280043215E-1,-4.101894870E-2,1.482820042E-1
6.205040417E-1,1.748580605E-2,8.256326973E-2,-9.705267012E-2,1.286144148E-1
6.305590417E-1,3.670006732E-2,6.849545360E-2,-1.411982712E-1,1.611690848E-1
6.406140417E-1,-1.189352900E-2,3.080137789E-2,-9.173813581E-2,9.749905884E-2
6.506700417E-1,4.929495156E-2,3.160186172E-2,-5.252963126E-2,7.866404562E-2
6.607250417E-1,4.907336036E-2,4.000489533E-2,-1.433123320E-2,6.491510296E-2
6.707800417E-1,-1.034138560E-2,2.365081787E-2,3.632290363E-3,2.606720114E-2
6.808350417E-1,6.033829540E-2,-1.531912029E-2,-4.864415646E-2,7.900404607E-2
6.908900417E-1,2.938225865E-2,-1.256683588E-2,-1.295041323E-2,3.448123679E-2
7.009450417E-1,-2.643847793E-2,-3.907167971E-2,-8.511207104E-3,4.793777130E-2
7.110010417E-1,3.437607318E-2,-2.580142379E-2,6.052452922E-3,4.340576072E-2
7.210560417E-1,-3.276955068E-2,-1.599447370E-2,6.997187555E-2,7.890329529E-2
7.311110417E-1,-7.188916842E-2,-4.089601099E-2,1.058658859E-1,1.343432992E-1
7.411660417E-1,-6.789669871E-2,-5.197297633E-2,1.096656990E-1,1.390601219E-1
7.512210417E-1,-5.454341233E-2,-5.657824337E-2,1.318722546E-1,1.535134293E-1
7.612760417E-1,-2.430219769E-2,-6.450648308E-2,1.424498677E-1,1.582518499E-1
7.713320417E-1,-1.123804699E-2,-8.150433898E-3,1.521039131E-1,1.527361243E-1
7.813870417E-1,-3.706521680E-2,-3.796889484E-2,1.737912360E-1,1.817109270E-1
7.914420417E-1,-2.476150562E-2,-4.438621402E-2,1.153319433E-1,1.260346195E-1
8.014970417E-1,1.007470689E-3,-1.818074763E-2,1.247225717E-1,1.260447320E-1
8.115520417E-1,-9.425711632E-4,-2.214457512E-2,9.382091403E-2,9.640349868E-2
8.216070417E-1,-6.655095746E-2,-2.341108203E-2,6.098090440E-2,9.325116301E-2
8.316630417E-1,-7.846641809E-2,-7.859827280E-3,6.967629880E-2,1.052308998E-1
8.417180417E-1,-9.674627602E-2,-4.825707078E-3,5.656815693E-2,1.121743542E-1
8.517730417E-1,-7.240548670E-2,1.383919001E-2,5.575437069E-2,9.242633573E-2
8.618280417E-1,-4.987967312E-2,-3.643517017E-2,3.755198836E-2,7.228869377E-2
8.718830417E-1,-4.677567869E-2,-6.896264613E-2,-3.299934626E-2,8.962570798E-2
8.819380417E-1,-6.741605759E-2,-1.038664305E-1,-5.125376880E-2,1.340153313E-1
8.919940417E-1,-1.287477949E-1,-9.299002469E-2,-7.808225602E-2,1.769745126E-1
9.020490417E-1,-1.245942253E-1,-5.614437997E-2,-4.660961777E-2,1.443896424E-1
9.121040417E-1,-1.380694261E-1,-3.611474276E-2,-3.351916373E-3,1.427539016E-1
9.221590417E-1,-1.166142377E-1,-1.641488850E-2,-1.703878641E-3,1.177761954E-1
9.322140417E-1,-6.279909611E-2,4.380207717E-2,8.129383922E-3,7.699633316E-2
9.422690417E-1,-3.066659957E-2,2.551257133E-2,-1.103603482E-2,4.138992257E-2
9.523250417E-1,-5.373152643E-2,-6.342708707E-2,-2.946996689E-4,8.312736706E-2
9.623800417E-1,-4.763726592E-3,-7.384565592E-2,3.171588242E-2,8.050944781E-2
9.724350417E-1,1.462388635E-3,-2.418525338E-2,1.269839823E-2,2.735533548E-2
9.824900417E-1,-6.435299367E-2,2.379115105E-2,-5.663613081E-3,6.884332339E-2
9.925450417E-1,-5.768132061E-2,4.846172333E-3,8.976060748E-3,5.857635871E-2
1.002600042E0,-4.253118485E-2,-1.796849370E-2,-1.720133901E-2,4.927123415E-2
1.012656042E0,-5.116635293E-2,-2.855195403E-2,1.104392856E-2,5.962531433E-2
1.022711042E0,-4.120766759E-2,-4.563576400E-2,3.780151829E-2,7.217790250E-2
1.032766042E0,-3.137001961E-2,-5.264774501E-2,4.773959219E-2,7.768482380E-2
1.042821042E0,5.437764376E-2,-7.594948411E-3,9.927256554E-3,5.579571494E-2
1.052876042E0,2.218140116E-3,-2.481967628E-2,1.256478935E-2,2.790717484E-2
1.062931042E0,-8.583421359E-3,-2.987342477E-2,-2.291772321E-2,3.861759530E-2
1.072987042E0,-2.399404943E-2,8.642184734E-4,-1.581452563E-2,2.874996526E-2
1.083042042E0,-4.591584563E-2,-9.705208540E-3,2.014658153E-2,5.107191694E-2
1.093097042E0,-7.712770948E-3,-1.303929090E-3,2.713678166E-2,2.824167109E-2
1.103152042E0,8.135845095E-2,3.623636484E-2,8.665573597E-4,8.906751708E-2
1.113207042E0,6.365220487E-2,6.409893215E-2,-4.002097517E-2,9.880260493E-2
1.123262042E0,8.138271689E-2,5.026500463E-2,-3.290929914E-2,1.011570031E-1
1.133318042E0,1.112877166E-1,1.238381803E-2,-4.715852514E-2,1.214999643E-1
1.143373042E0,8.681448787E-2,-5.574735403E-3,-3.198836267E-2,9.268812398E-2
1.153428042E0,8.536642492E-2,1.299602151E-2,1.863273740E-2,8.833743250E-2
1.163483042E0,8.987258166E-2,-1.157924116E-2,1.587109745E-2,9.199484493E-2
1.173538042E0,1.360854658E-1,1.597576261E-2,1.442625046E-2,1.377773411E-1
1.183593042E0,1.422683117E-1,8.128799200E-2,1.221775711E-2,1.643085017E-1
1.193649042E0,1.445998889E-1,8.010919333E-2,1.135558516E-2,1.656971938E-1
1.203704042E0,1.260399494E-1,8.179143727E-2,7.721248269E-3,1.504510742E-1
1.213759042E0,1.673914585E-1,1.055352259E-1,-4.527732968E-2,2.029966030E-1
1.223814042E0,1.789066726E-1,4.227127612E-2,-6.676233888E-2,1.955803369E-1
1.233869042E0,1.052761942E-1,1.970862508E-2,-1.907946467E-3,1.071221136E-1
1.243924042E0,1.123001620E-1,1.117812216E-2,-2.557718307E-3,1.128840942E-1
1.253979042E0,1.099946049E-1,2.901973128E-2,-7.065336853E-3,1.139775280E-1
1.264035042E0,9.588702768E-2,7.496539772E-2,9.283478111E-3,1.220668501E-1
1.274090042E0,1.134877315E-1,1.027841109E-1,-4.493716791E-2,1.595725156E-1
1.284145042E0,1.382498127E-1,2.988979697E-2,-1.348952651E-2,1.420858121E-1
1.294200042E0,6.213046700E-2,-2.123708725E-2,9.415771365E-3,6.633148238E-2
1.304255042E0,2.300879359E-2,-4.373249531E-2,-3.235849142E-2,5.906782284E-2
1.314310042E0,-6.807796240E-2,-4.852721214E-2,-4.083987772E-2,9.304512290E-2
1.324366042E0,-3.672431499E-2,-4.934231400E-2,-2.400398970E-2,6.602674295E-2
1.334421042E0,-1.599067301E-2,-5.879960060E-3,-2.066406012E-3,1.716233047E-2
1.344476042E0,-4.703382870E-2,2.021090090E-2,6.109390184E-2,7.970650161E-2
1.354531042E0,2.394258480E-2,2.717201114E-3,4.469173104E-2,5.077382565E-2
1.364586042E0,3.381884267E-2,3.575864732E-2,5.468301460E-2,7.357055840E-2
1.374641042E0,-5.004193336E-2,3.752450645E-2,4.748231471E-2,7.852931865E-2
1.384697042E0,-6.792272796E-2,-1.814507961E-2,4.169912606E-2,8.174079766E-2
1.394752042E0,-6.257133792E-2,-2.421975195E-2,7.835312828E-2,1.031551328E-1
1.404807042E0,-4.281798164E-2,4.538608789E-3,1.376485728E-1,1.442258926E-1
1.414862042E0,-2.773918192E-2,1.188446581E-2,1.761536573E-1,1.787199309E-1
1.424917042E0,-2.480186054E-2,1.485894442E-2,1.425542405E-1,1.454566327E-1
1.434972042E0,2.464921167E-2,-1.245398462E-2,9.955849439E-2,1.033178551E-1
1.445028042E0,-5.727347732E-4,-1.448823094E-2,6.667989314E-2,6.823814922E-2
1.455083042E0,-3.527683675E-2,-8.964951038E-3,1.038219917E-1,1.100174146E-1
1.465138042E0,-2.950854938E-2,7.916545272E-3,8.804547295E-2,9.319566236E-2
1.475193042E0,-1.643304228E-1,-1.473790705E-2,1.646900448E-1,2.331190782E-1
1.485248042E0,-2.070993152E-1,-6.050698757E-2,1.583126329E-1,2.676081308E-1
1.495303042E0,-1.436508675E-1,-4.742559671E-2,1.437985280E-1,2.087169749E-1
1.505359042E0,-1.407717077E-1,-3.298882127E-2,1.267318211E-1,1.922651568E-1
1.515414042E0,-1.099983873E-1,-1.046125352E-2,3.523970693E-2,1.159781013E-1
1.525469042E0,-8.878149122E-2,2.758482456E-2,-2.211650848E-2,9.556262699E-2
1.535524042E0,-1.362155847E-1,7.250547409E-5,-4.178098708E-2,1.424792674E-1
1.545579042E0,-1.186967144E-1,-6.896790862E-3,-4.748772338E-2,1.280295263E-1
1.555634667E0,-1.026051770E-1,4.997088969E-2,-5.069199756E-2,1.248783039E-1
1.565690667E0,-7.390063802E-2,8.061790109E-2,-5.873615831E-2,1.241389809E-1
1.575745667E0,-5.631718347E-2,1.370891404E-1,-3.720378667E-2,1.528043825E-1
