"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.064660833E-1,4.570981899E-1,-1.345083548E0,-2.347604460E-1,1.439896168E0
7.164550832E-1,2.060076401E-1,-1.296780869E0,-5.140971404E-1,1.410097742E0
7.264440833E-1,1.482343720E-1,-1.176865001E0,-8.391771877E-1,1.452997940E0
7.364320833E-1,1.243004027E-1,-9.424425244E-1,-9.435388774E-1,1.339370791E0
7.464210832E-1,5.949439600E-2,-7.502281737E-1,-7.493405664E-1,1.062023154E0
7.564100833E-1,1.029373080E-2,-5.282491565E-1,-6.845715433E-1,8.647492875E-1
7.663980833E-1,-4.862398356E-3,-3.466802466E-1,-7.342032945E-1,8.119515466E-1
7.763870832E-1,8.129383922E-2,-2.776433408E-2,-7.577745903E-1,7.626282687E-1
7.863760833E-1,3.344541572E-1,2.758353817E-1,-6.506530148E-1,7.818529828E-1
7.963650833E-1,2.529669213E-1,4.377570623E-1,-4.842757559E-1,7.001046469E-1
8.063530832E-1,-8.574123144E-2,5.291706777E-1,-3.092077804E-1,6.188558930E-1
8.163420833E-1,-3.958584000E-1,5.576512957E-1,-2.545269585E-1,7.297004954E-1
8.263310833E-1,-6.877435116E-1,4.764416564E-1,-7.610969782E-2,8.401074192E-1
8.363190832E-1,-8.470544104E-1,2.541726172E-1,8.430515528E-2,8.883761888E-1
8.463080833E-1,-8.006685948E-1,1.335018736E-1,2.529651672E-1,8.502260434E-1
8.562970833E-1,-5.244253698E-1,2.031311023E-1,3.238457000E-1,6.489686053E-1
8.662860832E-1,-2.258424188E-1,3.310430378E-1,3.160320657E-1,5.103631624E-1
8.762740833E-1,-1.631387785E-2,3.085137159E-1,3.029167610E-1,4.326724160E-1
8.862630833E-1,8.387099952E-3,2.587907481E-1,1.272149473E-1,2.884902729E-1
8.962520832E-1,-6.587999403E-2,1.042500079E-1,-1.113912123E-1,1.661813466E-1
9.062410833E-1,-3.389470115E-2,1.691891849E-2,-2.733456373E-1,2.759582179E-1
9.162290833E-1,1.505123010E-1,-3.410388529E-2,-1.307273698E-1,2.022539813E-1
9.262180832E-1,1.886311769E-1,-1.153334051E-1,-2.143706203E-2,2.221329847E-1
9.362070833E-1,1.470330615E-1,-1.979849678E-1,-1.137786305E-1,2.715922411E-1
9.461950833E-1,1.284305835E-1,-2.325577998E-1,1.719841540E-2,2.662204547E-1
9.561840832E-1,1.960037850E-1,-2.759640205E-1,1.490724242E-1,3.698597193E-1
9.661730833E-1,1.210573907E-1,-3.852590060E-1,2.117674398E-1,4.559877653E-1
9.761610833E-1,-2.388865337E-2,-5.407610285E-1,1.877049780E-1,5.729103913E-1
9.861500832E-1,-1.107579589E-2,-5.913628328E-1,2.575838828E-1,6.451217947E-1
9.961390833E-1,-1.736930028E-2,-5.997261053E-1,1.823641312E-1,6.270803540E-1
1.006128083E0,-6.613025486E-2,-5.495903242E-1,-3.833118832E-1,6.733132516E-1
1.016116083E0,-1.035348934E-1,-3.594470572E-1,-1.240690868E0,1.295853191E0
1.026105083E0,-1.049801789E-1,-1.506231058E-1,-1.621838697E0,1.632197573E0
1.036094083E0,-2.418661286E-1,5.844642878E-2,-1.456617433E0,1.477717684E0
1.046083083E0,-2.535510582E-1,1.487829870E-1,-1.183577605E0,1.219541087E0
1.056071083E0,-2.089204305E-1,1.406384003E-1,-7.882877004E-1,8.275411800E-1
1.066060083E0,1.318384869E-1,5.879843116E-2,-4.833524805E-1,5.044484737E-1
1.076049083E0,5.687411249E-2,3.542360187E-2,-5.772330362E-1,5.811088317E-1
1.086037083E0,-2.811819296E-1,8.093745142E-1,-4.936845106E-1,9.888755118E-1
1.096026083E0,-9.722487062E-2,8.430217320E-1,-5.540400553E-1,1.013458780E0
1.106015083E0,2.303504759E-1,2.185630739E-1,-2.474114817E-1,4.025463952E-1
1.116004083E0,3.315663636E-2,-4.211141324E-1,-3.395992684E-1,5.420001275E-1
1.125992083E0,-1.514854239E-1,-3.605960351E-1,-1.175325429E-1,4.084008238E-1
1.135981083E0,6.936376512E-2,-2.841068530E-1,3.720828903E-1,4.732586112E-1
1.145970083E0,1.717030491E-1,-4.011727881E-1,4.952170658E-1,6.600465781E-1
1.155958083E0,3.223350719E-2,-3.259074283E-1,3.514895815E-1,4.804160454E-1
1.165947083E0,-9.958787665E-2,-3.623940539E-1,2.994476080E-1,4.805372675E-1
1.175936083E0,-2.777452286E-1,-5.582026881E-1,3.112133753E-1,6.968403102E-1
1.185925083E0,-5.392485000E-1,-7.797858489E-1,1.243796325E-1,9.562035389E-1
1.195913083E0,-5.516478132E-1,-8.023935235E-1,-3.158741909E-1,1.023683145E0
1.205902083E0,-8.587118581E-2,-5.305365872E-1,-8.219471973E-1,9.820591256E-1
1.215891083E0,3.150029558E-1,-3.274475849E-1,-1.138600237E0,1.225911613E0
1.225879083E0,3.848486777E-1,-7.337086201E-2,-1.095489886E0,1.163438816E0
1.235868083E0,1.220869392E-2,1.844644511E-1,-8.442660195E-1,8.642692275E-1
1.245857083E0,-8.664608806E-2,8.043020546E-2,-8.273202038E-1,8.357244056E-1
1.255846083E0,-6.853960007E-3,1.999402767E-1,-6.359572077E-1,6.666818289E-1
1.265834083E0,2.305926968E-1,3.295028812E-1,-2.250265861E-1,4.608493300E-1
1.275823083E0,4.446478598E-1,7.946892321E-2,1.407132447E-2,4.519126366E-1
1.285812083E0,2.418792848E-1,-5.170400441E-2,-2.184864753E-1,3.300230786E-1
1.295800083E0,1.341471139E-1,-5.254307985E-3,-4.657763350E-1,4.847377127E-1
1.305789083E0,4.983552665E-2,-1.680495626E-1,-1.055071592E-2,1.756005490E-1
1.315778083E0,-1.856932434E-1,-2.868649846E-1,4.490766871E-1,5.643078690E-1
1.325767083E0,-3.421293586E-1,-2.786531550E-1,6.758591920E-1,8.071466572E-1
1.335755083E0,-3.826232274E-1,-2.597461832E-1,7.475367004E-1,8.790220317E-1
1.345744083E0,-2.878556491E-1,-1.750779158E-1,7.922374946E-1,8.609026653E-1
1.355733083E0,-2.712669522E-2,2.755126154E-1,3.390279955E-1,4.377019997E-1
1.365721083E0,4.558284670E-2,4.601144761E-1,-7.121908665E-2,4.678197145E-1
1.375710083E0,2.479175583E-2,4.872689456E-1,-3.158946562E-1,5.812358302E-1
1.385699083E0,2.131139074E-1,5.122324634E-1,-5.760010278E-1,7.997354676E-1
1.395688083E0,4.618277103E-1,3.872733718E-1,-8.045716113E-1,1.005286514E0
